SPEAKER LABEL,TEXT,START TIME,END TIME
0,okay,0.51,0.77
0,I've,0.77,0.93
0,started,0.93,1.22
0,talking,1.22,1.77
,pauses,1.77,2.07
0,%HESITATION,2.07,2.62
,pauses,2.62,2.85
0,yeah,2.85,3.12
0,I,3.12,3.18
0,was,3.18,3.47
0,talking,3.47,3.73
0,to,3.73,3.82
0,sametime,3.82,4.23
0,someone,4.23,4.48
0,talk,4.48,4.7
,pauses,4.7,5.6
0,yeah,5.6,5.87
,pauses,5.87,6.26
0,all,6.26,6.55
0,talk,6.55,6.81
0,at,6.81,6.89
0,the,6.89,7.0
0,same,7.0,7.34
0,time,7.34,7.72
0,we're,7.72,7.83
0,all,7.83,8.05
0,talking,8.05,8.31
,gaps,8.31,9.12
,fastspeech_start,9.12,9.12
1,please,9.12,9.38
1,take,9.38,9.59
1,my,9.59,9.73
1,best,9.73,9.97
1,buy,9.97,10.09
1,the,10.09,10.18
1,different,10.18,10.44
1,speakers,10.44,10.97
,gaps,10.97,11.73
,fastspeech_end,10.97,10.97
0,and,11.73,12.14
,pauses,12.14,12.17
0,now,12.17,12.4
0,let's,12.4,12.69
0,do,12.69,12.88
0,some,12.88,13.42
0,where,13.42,13.64
0,we're,13.64,13.86
0,just,13.86,14.25
0,talking,14.25,14.68
0,some,14.68,14.85
0,of,14.85,14.98
0,us,14.98,15.32
,gaps,15.32,18.1
1,sure,18.1,18.55
1,yeah,22.01,22.4
,pauses,22.4,22.43
1,%HESITATION,22.43,23.12
1,%HESITATION,23.31,23.84
,pauses,23.84,23.92
,overlaps,23.92,23.92
1,let's,23.92,24.13
0,hey,23.92,24.13
1,see,24.13,24.26
0,there,24.17,25.05
1,if,24.26,24.37
1,this,24.37,24.57
1,works,24.57,25.12
0,man,25.1,25.25
,overlaps,25.25,25.25
0,%HESITATION,26.85,27.22
,pauses,27.22,28.17
0,hi,28.17,28.66
0,Lester,28.66,28.99
